emotion_label,emotion_intensity,label_time,label_state
'Calm',58,1666161163569,'continue'
'Calm',60,1666161163603,'continue'
'Calm',63,1666161163670,'continue'
'Calm',67,1666161163720,'continue'
'Calm',70,1666161163770,'continue'
'Calm',74,1666161163820,'continue'
'Calm',76,1666161163870,'continue'
'Calm',78,1666161163938,'continue'
'Calm',78,1666161164121,'continue'
'Calm',78,1666161164189,'continue'
'Calm',78,1666161164239,'continue'
'Calm',79,1666161164289,'continue'
'Calm',81,1666161164339,'continue'
'Calm',83,1666161164390,'continue'
'Calm',84,1666161164439,'continue'
'Calm',86,1666161164540,'continue'
'Calm',87,1666161164673,'continue'
'Calm',87,1666161164756,'continue'
'Calm',87,1666161164839,'continue'
'Calm',86,1666161165007,'continue'
'Calm',87,1666161165175,'continue'
'Calm',85,1666161169388,'continue'
'Calm',84,1666161169472,'continue'
'Calm',82,1666161169535,'continue'
'Calm',80,1666161169602,'continue'
'Calm',77,1666161169652,'continue'
'Calm',74,1666161169702,'continue'
'Calm',72,1666161169802,'continue'
'Calm',69,1666161169970,'continue'
'Calm',66,1666161170371,'continue'
'Calm',63,1666161170505,'continue'
'Calm',60,1666161170521,'continue'
'Calm',55,1666161170538,'continue'
'Calm',50,1666161170555,'continue'
'Calm',47,1666161170605,'continue'
'Calm',44,1666161170654,'continue'
'Calm',41,1666161170688,'continue'
'Calm',41,1666161170721,'end'
'Fear',39,1666161170721,'start'
'Fear',39,1666161170721,'continue'
'Fear',34,1666161170789,'continue'
'Fear',28,1666161170805,'continue'
'Fear',30,1666161170809,'end'
'Surprise',53,1666161171504,'start'
'Surprise',56,1666161172432,'continue'
'Surprise',58,1666161172643,'continue'
'Surprise',61,1666161174067,'end'
'Calm',71,1666161174656,'start'
'Calm',73,1666161174900,'continue'
'Calm',76,1666161176063,'continue'
'Calm',79,1666161176117,'continue'
'Calm',80,1666161176151,'continue'
'Calm',83,1666161176184,'continue'
'Calm',86,1666161176218,'continue'
'Calm',88,1666161176269,'continue'
'Calm',90,1666161176302,'continue'
'Calm',92,1666161176352,'continue'
'Calm',94,1666161176503,'continue'
'Calm',94,1666161176587,'continue'
'Calm',95,1666161176670,'continue'
'Calm',95,1666161176853,'continue'
'Calm',97,1666161176970,'continue'
'Calm',99,1666161177170,'continue'
'Calm',100,1666161178239,'end'
'Annoyance',47,1666161180809,'start'
'Annoyance',49,1666161181550,'continue'
'Annoyance',52,1666161181685,'continue'
'Annoyance',48,1666161184649,'continue'
'Annoyance',41,1666161184665,'continue'
'Annoyance',28,1666161184689,'continue'
'Annoyance',31,1666161184690,'end'
'Joy',25,1666161185167,'start'
'Joy',28,1666161185577,'continue'
'Joy',30,1666161185944,'continue'
'Joy',31,1666161186312,'continue'
'Joy',32,1666161186360,'continue'
'Joy',32,1666161186427,'continue'
'Joy',33,1666161186946,'continue'
'Joy',35,1666161187030,'continue'
'Joy',38,1666161187329,'continue'
'Joy',41,1666161192392,'continue'
'Joy',44,1666161192442,'continue'
'Joy',48,1666161192912,'continue'
'Joy',49,1666161193079,'continue'
'Joy',50,1666161193131,'continue'
'Joy',51,1666161193177,'continue'
'Joy',52,1666161193211,'continue'
'Joy',54,1666161193277,'continue'
'Joy',54,1666161193327,'end'
'Calm',55,1666161193327,'start'
'Calm',55,1666161193327,'continue'
'Calm',57,1666161193377,'continue'
'Calm',59,1666161193444,'continue'
'Calm',61,1666161193528,'continue'
'Calm',64,1666161193595,'continue'
'Calm',67,1666161193678,'continue'
'Calm',70,1666161193712,'continue'
'Calm',73,1666161193778,'continue'
'Calm',75,1666161193812,'continue'
'Calm',77,1666161193862,'continue'
'Calm',79,1666161193896,'continue'
'Calm',80,1666161193929,'continue'
'Calm',83,1666161193962,'continue'
'Calm',85,1666161193979,'continue'
'Calm',87,1666161193995,'continue'
'Calm',89,1666161194013,'continue'
'Calm',88,1666161195565,'continue'
'Calm',87,1666161195916,'continue'
'Calm',85,1666161198607,'continue'
'Calm',84,1666161202133,'continue'
'Calm',82,1666161204037,'continue'
'Calm',79,1666161204122,'continue'
'Calm',76,1666161204138,'continue'
'Calm',73,1666161204172,'continue'
'Calm',71,1666161204205,'continue'
'Calm',68,1666161204238,'continue'
'Calm',65,1666161204255,'continue'
'Calm',63,1666161204272,'continue'
'Calm',62,1666161204288,'continue'
'Calm',58,1666161204321,'continue'
'Calm',56,1666161204338,'continue'
'Calm',55,1666161204355,'continue'
'Calm',53,1666161204388,'continue'
'Calm',53,1666161204438,'end'
'Joy',52,1666161204438,'start'
'Joy',52,1666161204438,'continue'
'Joy',51,1666161204489,'continue'
'Joy',51,1666161204522,'continue'
'Joy',51,1666161204555,'continue'
'Joy',52,1666161204605,'continue'
'Joy',53,1666161204740,'continue'
'Joy',56,1666161205678,'continue'
'Joy',53,1666161221867,'continue'
'Joy',49,1666161222168,'continue'
'Joy',45,1666161222201,'continue'
'Joy',41,1666161222233,'continue'
'Joy',41,1666161231088,'continue'
'Joy',41,1666161231121,'continue'
'Joy',41,1666161231155,'continue'
'Joy',41,1666161231188,'end'
'Calm',42,1666161231188,'start'
'Calm',42,1666161231188,'continue'
'Calm',43,1666161231239,'continue'
'Calm',44,1666161231273,'continue'
'Calm',46,1666161231323,'continue'
'Calm',48,1666161231374,'continue'
'Calm',49,1666161231440,'continue'
'Calm',51,1666161231473,'continue'
'Calm',52,1666161231506,'continue'
'Calm',54,1666161231556,'continue'
'Calm',56,1666161231606,'continue'
'Calm',57,1666161231640,'continue'
'Calm',59,1666161231673,'continue'
'Calm',61,1666161231724,'continue'
'Calm',63,1666161231757,'continue'
'Calm',65,1666161231807,'continue'
'Calm',67,1666161231874,'continue'
'Calm',70,1666161231941,'continue'
'Calm',73,1666161232108,'continue'
'Calm',75,1666161232175,'continue'
'Calm',78,1666161232343,'continue'
'Calm',84,1666161239110,'continue'
'Calm',86,1666161239389,'continue'
'Calm',83,1666161257605,'continue'
'Calm',78,1666161279570,'continue'
'Calm',76,1666161281207,'continue'
'Calm',74,1666161281263,'continue'
'Calm',71,1666161281280,'continue'
'Calm',68,1666161281313,'continue'
'Calm',64,1666161281347,'continue'
'Calm',62,1666161281380,'continue'
'Calm',60,1666161281398,'continue'
'Calm',58,1666161281430,'continue'
'Calm',57,1666161281447,'continue'
'Calm',57,1666161281480,'end'
'Joy',54,1666161281480,'start'
'Joy',54,1666161281480,'continue'
'Joy',52,1666161281514,'continue'
'Joy',50,1666161281547,'continue'
'Joy',48,1666161281581,'continue'
'Joy',47,1666161281614,'continue'
'Joy',45,1666161281648,'continue'
'Joy',44,1666161281698,'continue'
'Joy',42,1666161281747,'continue'
'Joy',40,1666161281798,'continue'
'Joy',37,1666161281899,'continue'
'Joy',34,1666161282299,'continue'
'Joy',37,1666161283138,'continue'
'Joy',39,1666161283557,'continue'
'Joy',42,1666161283704,'continue'
'Joy',45,1666161283753,'continue'
'Joy',48,1666161283820,'continue'
'Joy',50,1666161284221,'continue'
'Joy',51,1666161286443,'continue'
'Joy',47,1666161289150,'continue'
'Joy',45,1666161289184,'continue'
'Joy',42,1666161289217,'continue'
'Joy',40,1666161289250,'continue'
'Joy',38,1666161289401,'continue'
'Joy',35,1666161289485,'continue'
'Joy',34,1666161289518,'continue'
'Joy',33,1666161289551,'continue'
'Joy',33,1666161289584,'end'
'Calm',31,1666161289584,'start'
'Calm',31,1666161289584,'continue'
'Calm',31,1666161289618,'continue'
'Calm',32,1666161289634,'continue'
'Calm',33,1666161289651,'continue'
'Calm',34,1666161289684,'continue'
'Calm',35,1666161289735,'continue'
'Calm',37,1666161289785,'continue'
'Calm',39,1666161289818,'continue'
'Calm',41,1666161289868,'continue'
'Calm',43,1666161289918,'continue'
'Calm',47,1666161289968,'continue'
'Calm',49,1666161290001,'continue'
'Calm',52,1666161290052,'continue'
'Calm',56,1666161290085,'continue'
'Calm',58,1666161290119,'continue'
'Calm',62,1666161290152,'continue'
'Calm',64,1666161290169,'continue'
'Calm',67,1666161290185,'continue'
'Calm',78,1666161290202,'continue'
'Calm',90,1666161290219,'continue'
'Calm',97,1666161290236,'continue'
'Calm',95,1666161290836,'continue'
'Calm',92,1666161290904,'continue'
'Calm',86,1666161290921,'continue'
'Calm',81,1666161290937,'continue'
'Calm',77,1666161290954,'continue'
'Calm',74,1666161290988,'continue'
'Calm',76,1666161291572,'continue'
'Calm',78,1666161292765,'continue'
'Calm',81,1666161294177,'continue'
'Calm',72,1666161295842,'continue'
'Calm',64,1666161295859,'continue'
'Calm',59,1666161295877,'continue'
'Calm',56,1666161295900,'continue'
'Calm',53,1666161295933,'continue'
'Calm',50,1666161295950,'continue'
'Calm',47,1666161295967,'continue'
