client_time,device_time,data_type,data_value
1666161747554,1080286,'HUMIDITY',65.18
1666161747556,1080295,'LIGHT',931.66
1666161747701,1080301,'CO2',1603.0
1666161753760,1086426,'TEMPERATURE',18.76
1666161753795,1086427,'HUMIDITY',65.18
1666161753796,1086436,'LIGHT',934.16
1666161753797,1086441,'CO2',1601.0
1666161759790,1092566,'TEMPERATURE',18.76
1666161759839,1092567,'HUMIDITY',65.18
1666161759888,1092576,'LIGHT',933.33
1666161759890,1092583,'CO2',1601.0
1666161765932,1098708,'TEMPERATURE',18.76
1666161765934,1098709,'HUMIDITY',65.18
1666161765935,1098718,'LIGHT',932.49
1666161765936,1098725,'CO2',1605.0
1666161772172,1104850,'TEMPERATURE',18.76
1666161772222,1104851,'HUMIDITY',65.18
1666161772224,1104860,'LIGHT',932.49
1666161772225,1104867,'CO2',1605.0
1666161778217,1110992,'TEMPERATURE',18.76
1666161778363,1110993,'HUMIDITY',65.18
1666161778365,1111002,'LIGHT',934.16
1666161778366,1111009,'CO2',1604.0
1666161784362,1117134,'TEMPERATURE',18.76
1666161784363,1117135,'HUMIDITY',65.18
1666161784364,1117144,'LIGHT',932.49
1666161784365,1117151,'CO2',1605.0
1666161790560,1123276,'TEMPERATURE',18.76
1666161790561,1123277,'HUMIDITY',65.18
1666161790562,1123286,'LIGHT',931.66
1666161790563,1123293,'CO2',1605.0
1666161796742,1129418,'TEMPERATURE',18.76
1666161796791,1129419,'HUMIDITY',65.18
1666161796792,1129428,'LIGHT',932.49
1666161796794,1129435,'CO2',1603.0
1666161802787,1135560,'TEMPERATURE',18.76
1666161802838,1135561,'HUMIDITY',65.18
1666161802839,1135570,'LIGHT',935.83
1666161802933,1135577,'CO2',1605.0
1666161808929,1141702,'TEMPERATURE',18.76
1666161808930,1141703,'HUMIDITY',65.18
1666161808978,1141712,'LIGHT',932.49
1666161808979,1141719,'CO2',1611.0
1666161815074,1147844,'TEMPERATURE',18.76
1666161815075,1147845,'HUMIDITY',65.18
1666161815077,1147854,'LIGHT',932.49
1666161815078,1147861,'CO2',1616.0
1666161821216,1153986,'TEMPERATURE',18.76
1666161821218,1153987,'HUMIDITY',65.18
1666161821314,1153996,'LIGHT',932.49
1666161821316,1154003,'CO2',1618.0
1666161827460,1160228,'TEMPERATURE',18.76
1666161827462,1160229,'HUMIDITY',65.18
1666161827606,1160238,'LIGHT',933.33
1666161827608,1160245,'CO2',1622.0
1666161833744,1166370,'TEMPERATURE',18.76
1666161833747,1166371,'HUMIDITY',65.18
1666161833791,1166380,'LIGHT',932.49
1666161833792,1166387,'CO2',1624.0
1666161839739,1172512,'TEMPERATURE',18.76
1666161839741,1172513,'HUMIDITY',65.18
1666161839741,1172522,'LIGHT',933.33
1666161839742,1172530,'CO2',1624.0
1666161845930,1178654,'TEMPERATURE',18.76
1666161845982,1178655,'HUMIDITY',65.18
1666161845984,1178664,'LIGHT',932.49
1666161846028,1178671,'CO2',1623.0
1666161852025,1184796,'TEMPERATURE',18.76
1666161852027,1184797,'HUMIDITY',65.18
1666161852028,1184806,'LIGHT',932.49
1666161852029,1184813,'CO2',1621.0
1666161858217,1190938,'TEMPERATURE',18.76
